,week,day_of_week,met,met_accumulated,inactive
0,35,0,0,0,1
1,35,1,0,0,1
2,35,2,0,0,1
3,35,3,0,0,1
4,35,4,60,60,0
5,35,5,0,60,1
6,35,6,0,60,1
7,36,0,60,60,0
8,36,1,0,60,1
9,36,2,0,60,1
10,36,3,0,60,1
11,36,4,0,60,1
12,36,5,180,240,0
13,36,6,0,240,1
14,37,0,0,0,1
15,37,1,0,0,1
16,37,2,0,0,1
17,37,3,0,0,1
18,37,4,0,0,1
19,37,5,0,0,1
20,37,6,0,0,1
21,38,0,60,60,0
22,38,1,0,60,1
23,38,2,0,60,1
24,38,3,0,60,1
25,38,4,0,60,1
26,38,5,60,120,0
27,38,6,0,120,1
28,39,0,0,0,1
29,39,1,0,0,1
30,39,2,0,0,1
31,39,3,0,0,1
32,39,4,0,0,1
33,39,5,0,0,1
34,39,6,0,0,1
